Source	Target	Type	Label	Weight
4	14	Directed	Owns	100.000000
6	8	Directed	Owns	86.350000
10	5	Directed	Owns	0.230000
17	18	Directed	Owns	51.000000
26	1	Directed	Owns	50.430000
27	1	Directed	Owns	43.890000
28	1	Directed	Owns	6.010000
29	1	Directed	Owns	3.190000
29	4	Directed	Owns	0.550000
29	5	Directed	Owns	3.030000
29	7	Directed	Owns	6.050000
29	8	Directed	Owns	0.200000
29	10	Directed	Owns	2.230000
29	13	Directed	Owns	0.110000
29	16	Directed	Owns	1.240000
29	17	Directed	Owns	1.680000
29	19	Directed	Owns	1.520000
29	20	Directed	Owns	5.990000
29	22	Directed	Owns	1.070000
29	23	Directed	Owns	5.770000
29	24	Directed	Owns	5.470000
30	1	Directed	Owns	2.670000
30	4	Directed	Owns	0.970000
30	5	Directed	Owns	7.570000
30	7	Directed	Owns	5.650000
30	8	Directed	Owns	0.330000
30	10	Directed	Owns	6.710000
30	13	Directed	Owns	0.150000
30	16	Directed	Owns	1.780000
30	17	Directed	Owns	2.640000
30	19	Directed	Owns	4.560000
30	20	Directed	Owns	6.050000
30	22	Directed	Owns	1.920000
30	23	Directed	Owns	5.470000
30	24	Directed	Owns	6.560000
31	1	Directed	Owns	2.280000
31	4	Directed	Owns	0.220000
31	5	Directed	Owns	4.080000
31	7	Directed	Owns	4.570000
31	10	Directed	Owns	3.450000
31	16	Directed	Owns	0.190000
31	17	Directed	Owns	0.510000
31	19	Directed	Owns	0.760000
31	20	Directed	Owns	5.800000
31	22	Directed	Owns	0.140000
31	23	Directed	Owns	4.250000
31	24	Directed	Owns	4.210000
32	1	Directed	Owns	1.000000
33	1	Directed	Owns	0.960000
33	5	Directed	Owns	0.290000
33	19	Directed	Owns	0.450000
33	20	Directed	Owns	0.680000
33	22	Directed	Owns	0.980000
34	1	Directed	Owns	0.870000
34	4	Directed	Owns	0.110000
34	5	Directed	Owns	0.680000
34	7	Directed	Owns	1.530000
34	10	Directed	Owns	0.550000
34	16	Directed	Owns	0.520000
34	19	Directed	Owns	0.270000
34	20	Directed	Owns	1.490000
34	22	Directed	Owns	0.130000
34	23	Directed	Owns	1.350000
34	24	Directed	Owns	1.400000
35	1	Directed	Owns	0.650000
35	5	Directed	Owns	0.390000
35	7	Directed	Owns	1.400000
35	10	Directed	Owns	0.290000
35	19	Directed	Owns	0.770000
35	20	Directed	Owns	2.430000
35	23	Directed	Owns	1.030000
35	24	Directed	Owns	4.480000
36	1	Directed	Owns	0.640000
36	5	Directed	Owns	0.300000
36	7	Directed	Owns	1.270000
36	10	Directed	Owns	0.830000
36	19	Directed	Owns	0.280000
36	20	Directed	Owns	0.880000
36	23	Directed	Owns	0.740000
36	24	Directed	Owns	1.170000
37	1	Directed	Owns	0.610000
37	5	Directed	Owns	0.660000
37	7	Directed	Owns	1.440000
37	10	Directed	Owns	0.840000
37	16	Directed	Owns	0.110000
37	17	Directed	Owns	0.200000
37	19	Directed	Owns	0.160000
37	20	Directed	Owns	1.490000
37	23	Directed	Owns	1.410000
37	24	Directed	Owns	1.310000
38	1	Directed	Owns	0.610000
38	5	Directed	Owns	0.360000
38	10	Directed	Owns	1.220000
38	17	Directed	Owns	0.310000
38	22	Directed	Owns	0.300000
39	1	Directed	Owns	0.540000
39	5	Directed	Owns	0.670000
39	7	Directed	Owns	0.540000
39	10	Directed	Owns	0.500000
39	16	Directed	Owns	0.210000
39	19	Directed	Owns	0.600000
39	20	Directed	Owns	2.640000
39	22	Directed	Owns	0.690000
39	23	Directed	Owns	3.180000
39	24	Directed	Owns	6.120000
40	1	Directed	Owns	0.520000
40	5	Directed	Owns	0.100000
40	7	Directed	Owns	0.890000
