"Mark";"Company name";"BvD ID number";"Shareholder - BvD ID number";"Shareholder - Name";"Shareholder - Country ISO code";"Shareholder - NACE Rev. 2, Core code";"Shareholder - Operating revenue (Turnover) mil USD";"Shareholder - Total assets mil USD";"Shareholder - Number of employees";"Shareholder - Direct %";"Shareholder - Total %"
"";"NAME";"BVDID";"-9006";"-9001";"-9003";"-9091";"-9004";"-9038";"-9065";"-9009";"-9010"
"1";"WAL-MART STORES, INC.";"US710415188";"WW*901466840";"WALTON FAMILY";"0";"-";"";"";"";"-";"50.43"
"";"WAL-MART STORES, INC.";"US710415188";"US120227694L";"WALTON ENTERPRISES LLC";"US";"7490";"3";"";"35";"43.89";"0"
"";"WAL-MART STORES, INC.";"US710415188";"YY*939019953";"WALTON FAMILY HOLDINGS TRUST (THE)";"0";"";"";"";"";"6.01";"0"
"";"WAL-MART STORES, INC.";"US710415188";"US149144472L";"VANGUARD GROUP INC via its funds";"US";"6420";"38";"";"17,500";"-";"3.19"
"";"WAL-MART STORES, INC.";"US710415188";"US320174431";"BLACKROCK INC via its funds";"US";"6612";"30,000";"";"17,500";"-";"2.67"
"";"WAL-MART STORES, INC.";"US710415188";"US042456637";"STATE STREET CORP via its funds";"US";"6419";"30,000";"";"37,500";"-";"2.28"
"";"WAL-MART STORES, INC.";"US710415188";"US470813844";"BERKSHIRE HATHAWAY INC via its funds";"US";"6512";"100,000";"";"300,000";"-";"2.10"
"";"WAL-MART STORES, INC.";"US710415188";"US470813844";"BERKSHIRE HATHAWAY INC";"US";"6512";"100,000";"";"300,000";"1.00";"0"
"";"WAL-MART STORES, INC.";"US710415188";"US941441976";"DODGE & COX via its funds";"US";"6619";"38";"";"175";"-";"0.96"
"";"WAL-MART STORES, INC.";"US710415188";"US132614959";"BANK OF NEW YORK MELLON CORP via its funds";"US";"6419";"30,000";"";"62,500";"-";"0.87"
"";"WAL-MART STORES, INC.";"US710415188";"US199785972L";"WELLINGTON MANAGEMENT GROUP LLP via its funds";"US";"8211";"0";"";"7";"-";"0.65"
"";"WAL-MART STORES, INC.";"US710415188";"US560906609";"BANK OF AMERICA CORP via its funds";"US";"6419";"75,000";"";"225,000";"-";"0.64"
"";"WAL-MART STORES, INC.";"US710415188";"US362723087";"NORTHERN TRUST CORP via its funds";"US";"6419";"3,000";"";"17,500";"-";"0.61"
"";"WAL-MART STORES, INC.";"US710415188";"GB03591559";"OLD MUTUAL PLC via its funds";"GB";"6500";"";"218,827";"";"-";"0.61"
"";"WAL-MART STORES, INC.";"US710415188";"US126246544L";"FMR LLC via its funds";"US";"6612";"7,500";"";"37,500";"-";"0.54"
"";"WAL-MART STORES, INC.";"US710415188";"US370533100";"STATE FARM MUTUAL AUTOMOBILE INSURANCE CO via its funds";"US";"6511";"75,000";"";"62,500";"-";"0.52"
"";"WAL-MART STORES, INC.";"US710415188";"US229641968L";"GEODE CAPITAL HOLDINGS LLC via its funds";"US";"6420";"";"";"";"-";"0.40"
"";"WAL-MART STORES, INC.";"US710415188";"US131856947L";"BILL & MELINDA GATES FOUNDATION via its funds";"US";"8899";"18";"";"75";"-";"0.36"
"";"WAL-MART STORES, INC.";"US710415188";"BM12474";"INVESCO LTD via its funds";"BM";"6619";"7,500";"";"7,500";"-";"0.33"
"";"WAL-MART STORES, INC.";"US710415188";"US131380631";"AMERIPRISE FINANCIAL INC via its funds";"US";"6619";"30,000";"";"17,500";"-";"0.26"
"";"WAL-MART STORES, INC.";"US710415188";"US410449260";"WELLS FARGO & CO via its funds";"US";"6419";"75,000";"";"275,000";"-";"0.26"
"";"WAL-MART STORES, INC.";"US710415188";"US126586036L";"AMERICAN CENTURY CO INC via its funds";"US";"6209";"113";"";"3,500";"-";"0.25"
"";"WAL-MART STORES, INC.";"US710415188";"US521200960";"LEGG MASON INC via its funds";"US";"6619";"2,768";"7,074";"2,982";"-";"0.25"
"";"WAL-MART STORES, INC.";"US710415188";"CHCHE395345924";"UBS GROUP AG via its funds";"CH";"6420";"";"";"35";"-";"0.25"
"";"WAL-MART STORES, INC.";"US710415188";"US134019460";"GOLDMAN SACHS GROUP INC via its funds";"US";"6612";"30,000";"";"37,500";"-";"0.24"
"";"WAL-MART STORES, INC.";"US710415188";"US126784493L";"STATE OF NEW YORK via its funds";"US";"8411";"750";"";"225,000";"-";"0.24"
"";"WAL-MART STORES, INC.";"US710415188";"US131624203";"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA-COLLEGE RETIREMENT EQUITIES FUND via its funds";"US";"6511";"30,000";"262,634";"7,500";"-";"0.24"
"";"WAL-MART STORES, INC.";"US710415188";"GB01417162";"LEGAL & GENERAL GROUP PLC via its funds";"GB";"6511";"15,282";"619,087";"";"-";"0.23"
"";"WAL-MART STORES, INC.";"US710415188";"US*I0005573302";"STATE OF CALIFORNIA via its funds";"US";"-";"";"";"";"-";"0.23"
"";"WAL-MART STORES, INC.";"US710415188";"US510261715";"WADDELL & REED FINANCIAL INC via its funds";"US";"6612";"3,000";"";"1,500";"-";"0.23"
"";"WAL-MART STORES, INC.";"US710415188";"US522264646";"T ROWE PRICE GROUP INC via its funds";"US";"6612";"3,000";"";"7,500";"-";"0.21"
"";"WAL-MART STORES, INC.";"US710415188";"DE13216";"DEUTSCHE BANK AG via its funds";"DE";"6419";"38,417";"2,074,537";"98,138";"-";"0.20"
"";"WAL-MART STORES, INC.";"US710415188";"US363145972";"MORGAN STANLEY via its funds";"US";"6612";"30,000";"";"62,500";"-";"0.20"
"";"WAL-MART STORES, INC.";"US710415188";"US943025021";"CHARLES SCHWAB CORP via its funds";"US";"6612";"7,500";"";"17,500";"-";"0.18"
"";"WAL-MART STORES, INC.";"US710415188";"CHCHE105884494";"CREDIT SUISSE GROUP AG via its funds";"CH";"7010";"";"";"";"-";"0.18"
"";"WAL-MART STORES, INC.";"US710415188";"US132670991";"FRANKLIN RESOURCES INC via its funds";"US";"6619";"7,500";"";"7,500";"-";"0.18"
"";"WAL-MART STORES, INC.";"US710415188";"FR572093920";"AXA via its funds";"FR";"6500";"104,737";"996,988";"";"-";"0.17"
"";"WAL-MART STORES, INC.";"US710415188";"US521568099";"CITIGROUP INC via its funds";"US";"6419";"75,000";"";"225,000";"-";"0.16"
"";"WAL-MART STORES, INC.";"US710415188";"CA503864";"POWER CORPORATION OF CANADA via its funds";"CA";"6420";"30,000";"";"37,500";"-";"0.16"
"";"WAL-MART STORES, INC.";"US710415188";"US223703799";"PRUDENTIAL FINANCIAL INC via its funds";"US";"6420";"18,327";"766,655";"";"-";"0.16"
"";"WAL-MART STORES, INC.";"US710415188";"US208999751";"PZENA INVESTMENT MANAGEMENT INC via its funds";"US";"6619";"113";"";"75";"-";"0.16"
"";"WAL-MART STORES, INC.";"US710415188";"US127524377L";"EAGLE CAPITAL MANAGEMENT LLC via its funds";"US";"6612";"3";"";"7";"-";"0.15"
"";"WAL-MART STORES, INC.";"US710415188";"US149281241L";"GMO via its funds";"US";"7022";"18";"";"175";"-";"0.15"
"";"WAL-MART STORES, INC.";"US710415188";"US132624428";"JPMORGAN CHASE & CO via its funds";"US";"6419";"75,000";"";"225,000";"-";"0.15"
"";"WAL-MART STORES, INC.";"US710415188";"SE5164060120";"NORDEA BANK AB (PUBL) via its funds";"SE";"6420";"13,105";"812,649";"29,397";"-";"0.15"
"";"WAL-MART STORES, INC.";"US710415188";"JP18877";"SUMITOMO MITSUI TRUST HOLDINGS, INC via its funds";"JP";"6420";"5,753";"380,521";"20,965";"-";"0.15"
"";"WAL-MART STORES, INC.";"US710415188";"US043218510";"AFFILIATED MANAGERS GROUP INC via its funds";"US";"6619";"3,000";"";"3,500";"-";"0.14"
"";"WAL-MART STORES, INC.";"US710415188";"DE206362";"ALLIANZ SE via its funds";"DE";"6500";"89,822";"961,810";"";"-";"0.14"
"";"WAL-MART STORES, INC.";"US710415188";"US149114343L";"CAPITAL GROUP CO INC via its funds";"US";"6619";"350";"";"7,500";"-";"0.14"
"";"WAL-MART STORES, INC.";"US710415188";"US042718215";"EATON VANCE CORP via its funds";"US";"6619";"3,000";"";"1,500";"-";"0.14"
"";"WAL-MART STORES, INC.";"US710415188";"CA33408";"BANK OF MONTREAL via its funds";"CA";"6492";"30,000";"";"37,500";"-";"0.13"
"";"WAL-MART STORES, INC.";"US710415188";"GB00617987";"HSBC HOLDINGS PLC via its funds";"GB";"6420";"63,363";"2,634,139";"266,000";"-";"0.13"
"";"WAL-MART STORES, INC.";"US710415188";"US130127513L";"STATE OF GEORGIA via its funds";"US";"8411";"113";"";"";"-";"0.13"
